Name,Assists_Line,PointsAssists_Line,Triple_Line,Steals_Line,BlocksSteals_Line,PointsReboundsAssists_Line,Turnovers_Line,Points_Line,PointsRebounds_Line,Threes_Line,Rebounds_Line,ReboundsAssists_Line,Double_Line,Blocks_Line
Jalen Brunson,7.0,36.5,,0.5s,0.5s,40.5,3.0,29.5,33.5,2.5s,3.5,10.5,,0.5s
Tyrese Maxey,6.5,33.5,,0.5s,1.5s,37.5,2.5s,26.5,,2.5s,3.5,10.0,,0.5s
Tobias Harris,,22.5,,0.5s,1.5,28.5,1.5s,18.5,24.5,1.5s,6.0,9.5,,0.5s
Bojan Bogdanovic,,15.5,,0.5s,0.5,18.5,1.5,,16.5,2.0,,,,0.5s
Buddy Hield,,21.0,,1.5s,1.5,25.0,1.5s,,20.5,3.5,4.0,8.5,,0.5s
Kelly Oubre Jr.,,16.5,,1.5s,1.5s,20.5,1.5s,,19.5,1.5s,,5.5,,0.5
Josh Hart,,,,0.5s,1.5s,21.5,1.5s,9.5,17.5,0.5s,8.0,12.5,,0.5s
Donte DiVincenzo,3.5,,,1.5s,1.5,26.5,1.5s,,23.5,4.0,4.0,7.5,,0.5s
Paul Reed,,,,1.5s,2.5s,20.5,,9.5,18.5,0.5s,8.5,,0.5s,1.5s
Isaiah Hartenstein,,,,1.5s,2.5s,20.5,1.5,9.5,18.5,,9.0,11.5,0.5s,1.5s
Precious Achiuwa,,,,0.5s,2.0,23.5,1.5,12.5,22.5,0.5s,9.5,11.0,0.5s,1.5s
Alec Burks,,,,0.5s,0.5,14.5,,,,1.5s,2.0,,,0.5s
Donovan Mitchell,5.5,31.5,,1.5s,2.5s,36.5,2.5s,26.5,30.5,3.0,4.5,10.5,,0.5s
Evan Mobley,,,,0.5s,2.0,27.5,1.5,14.5,,0.5s,10.0,12.5,,1.5s
Jarrett Allen,,,,0.5s,2.5s,29.5,1.5,15.5,,,11.0,13.5,0.5s,1.5s
Jalen Suggs,,,,1.5s,,17.5,2.0,,,2.0,,,,0.5s
Paolo Banchero,6.0,26.5,,0.5s,1.5s,33.0,2.5s,21.0,26.5,,6.5,12.5,,0.5s
Franz Wagner,3.5,,,0.5s,1.5s,28.5,2.0,,24.5,1.5,5.0,8.5,,0.5s
Wendell Carter Jr.,,,,0.5s,1.5s,18.5,1.5s,10.5,,0.5s,6.5,8.0,,0.5
Cole Anthony,,,,0.5,0.5s,14.5,1.5,,,0.5,3.0,,,0.5s
Moritz Wagner,,,,0.5s,,11.0,,,,0.5s,3.0,,,0.5s
Jonathan Isaac,,,,0.5,1.5,11.5,,,,0.5s,4.5,,,0.5s
Scottie Barnes,7.0,28.5,,0.5s,2.5s,36.5,2.5s,21.5,29.5,1.5s,7.5,14.5,0.5s,1.5s
Nic Claxton,,,,0.5,2.5,24.5,1.5s,12.5,,,10.0,,0.5s,2.0
Immanuel Quickley,6.0,22.5,,0.5s,0.5s,26.5,1.5s,16.5,,2.5s,3.5,10.0,,0.5s
RJ Barrett,,,,0.5s,1.5s,30.5,2.0,20.5,26.5,1.5s,6.0,9.5,,0.5s
Mikal Bridges,,,,0.5s,1.5s,31.5,2.0,,27.5,3.0,4.0,7.5,,0.5s
Jakob Poeltl,,,,0.5,2.5s,23.5,1.5s,12.5,,,9.0,11.5,0.5s,1.5
Ben Simmons,6.0,,,0.5s,1.5,19.5,2.0,7.5,,,6.0,12.0,,0.5
Gary Trent Jr.,,,,1.5s,1.5s,14.5,,,,2.0,,,,0.5s
Bruce Brown,2.5,,,0.5s,1.5s,16.5,,,,0.5,4.0,6.5,,0.5s
Gradey Dick,,,,0.5,0.5s,10.5,,,,1.5,,,,0.5s
Kelly Olynyk,,,,0.5s,0.5s,16.5,1.5s,,,0.5,4.5,8.0,,0.5s
Dennis Smith Jr.,,,,0.5s,0.5s,10.5,,,,0.5s,,,,0.5s
Tyrese Haliburton,12.0,32.5,,1.5s,2.0,36.5,2.0,20.5,24.5,3.0,,15.5,0.5s,0.5
Pascal Siakam,,26.5,,1.5s,1.5,33.5,1.5,23.5,29.5,1.5s,6.0,10.0,,0.5s
Cade Cunningham,8.0,29.5,,0.5s,1.5s,33.5,,21.5,25.5,1.5s,,11.5,0.5s,0.5s
Myles Turner,,,,0.5s,2.5,27.5,1.5s,18.5,25.5,1.5,6.5,8.0,,1.5
Jaden Ivey,3.5,,,0.5,1.5s,24.5,2.5,,,1.5s,3.0,7.0,,0.5s
Jalen Duren,,,,0.5s,1.5s,27.5,1.5,14.5,25.5,,11.5,,0.5s,0.5s
Simone Fontecchio,,,,0.5,0.5s,16.5,,,,2.0,3.5,,,0.5s
Evan Fournier,,,,0.5s,1.5s,13.5,1.5,,,1.5s,,,,0.5s
T.J. McConnell,5.0,,,0.5s,1.5s,15.5,1.5s,,,,2.5,7.5,,0.5s
Andrew Nembhard,4.5,,,1.5s,1.5,17.5,1.5s,,,0.5s,,,,0.5s
Luka Doncic,10.0,41.5,0.5s,1.5s,2.0,49.5,3.5,31.5,39.5,3.5,8.5,18.5,0.5s,0.5s
Kevin Durant,5.5,32.5,,0.5s,2.5s,38.5,3.0,26.5,33.5,2.5s,6.5,12.5,,1.5s
Devin Booker,6.0,33.5,,0.5s,1.5s,37.5,2.5s,27.5,31.5,2.5s,,10.0,,0.5s
Kyrie Irving,6.0,32.5,,1.5s,1.5s,36.5,1.5s,26.5,30.5,2.5s,5.0,10.5,,0.5s
Bradley Beal,4.5,22.5,,0.5s,1.5s,26.5,2.5s,,21.5,1.5,4.0,8.5,,0.5s
Tim Hardaway Jr.,,,,0.5,0.5,17.5,,,,2.5,2.5,,,0.5s
Jusuf Nurkic,,,,0.5s,1.5,23.5,1.5,10.5,19.5,0.5s,9.5,12.5,0.5s,0.5s
PJ Washington,,,,0.5s,1.5s,18.5,1.5s,,,1.5,4.5,6.5,,0.5s
Josh Green,,,,0.5,0.5s,13.5,,,,1.5s,2.5,,,0.5s
Grayson Allen,,,,0.5s,1.5s,17.5,,,,2.0,,6.5,,0.5s
Shai Gilgeous-Alexander,,37.5,,1.5,2.5,42.5,2.5,30.5,36.5,,5.0,11.5,,0.5s
Kawhi Leonard,3.5,27.5,,1.5s,2.5s,33.5,2.0,24.5,30.5,2.5s,5.5,9.5,,0.5s
Paul George,,,,1.5s,1.5s,30.5,2.0,,27.5,3.0,5.0,8.0,,0.5s
James Harden,8.0,25.5,,0.5s,1.5s,30.5,2.5,16.5,21.5,,5.0,13.0,0.5s,0.5s
Chet Holmgren,,,,0.5s,3.0,24.5,1.5s,14.5,,1.5,7.5,9.5,,2.5s
Jalen Williams,4.5,23.5,,0.5s,1.5s,28.5,1.5s,,23.5,1.5s,4.0,8.5,,0.5s
Josh Giddey,,,,0.5s,0.5s,19.5,1.5s,,15.5,0.5s,5.5,9.5,,0.5s
Russell Westbrook,3.5,,,0.5s,1.5s,18.5,1.5s,,,0.5,4.5,8.0,,0.5s
Luguentz Dort,,,,0.5s,1.5s,14.5,,,,1.5s,,,,0.5s
Norman Powell,,,,0.5s,0.5,15.5,,,,2.0,,,,0.5s
Ivica Zubac,,,,0.5s,1.5s,20.5,,10.5,,,9.0,10.5,0.5s,1.5s
Terance Mann,,,,0.5s,0.5,11.0,,,,,,,,0.5s
Amir Coffey,,,,0.5s,0.5s,,0.5s,,,0.5s,1.5,,,0.5s
Brandon Ingram,6.0,27.5,,0.5s,1.5s,33.5,,20.5,26.5,1.5s,5.0,11.5,,0.5s
Zion Williamson,5.0,28.5,,0.5s,1.5s,35.5,,23.5,29.5,,6.0,11.5,,
Alperen Sengun,5.0,24.5,,0.5s,1.5s,33.5,2.5s,19.5,28.5,0.5s,8.5,13.5,0.5s,0.5s
Fred VanVleet,7.0,20.5,,1.5s,2.0,24.5,,13.5,17.5,2.5s,,10.5,,0.5s
CJ McCollum,4.5,22.5,,0.5s,1.5,26.5,1.5s,,22.5,3.0,4.0,8.5,,0.5
Dillon Brooks,,,,0.5s,1.5s,18.5,1.5s,,17.5,1.5s,3.0,,,0.5s
Jalen Green,,20.5,,0.5s,1.5s,24.5,2.0,,21.5,1.5s,,7.5,,0.5s
Herbert Jones,,,,0.5s,1.5s,17.5,1.5s,,,,,,,0.5
Jonas Valanciunas,,,,0.5s,1.5,22.5,1.5s,11.5,,0.5s,9.0,,0.5s,0.5s
Jabari Smith Jr.,,,,0.5,1.5,22.5,1.5s,12.5,20.5,1.5s,8.0,9.5,0.5s,0.5s
Cam Whitmore,,,,0.5,0.5s,16.5,0.5s,,15.5,1.5s,3.5,,,0.5s
Larry Nance Jr.,,,,0.5s,1.5s,12.5,,,,0.5s,5.5,,,0.5s
Jayson Tatum,5.5,31.5,,1.5s,1.5,40.5,2.0,27.0,35.5,3.0,8.5,14.0,0.5s,0.5
Jaylen Brown,3.5,,,0.5s,1.5,29.5,2.5,19.5,26.0,,6.0,9.5,,0.5s
Derrick White,4.0,18.5,,0.5s,1.5s,22.0,1.5,,17.5,2.5s,3.5,8.0,,0.5s
DeMar DeRozan,5.0,28.5,,0.5s,1.5s,32.5,1.5,,27.5,0.5s,4.0,9.0,,0.5s
Alex Caruso,,,,1.5,2.5,16.5,1.5s,,,1.5,4.0,7.5,,1.5s
Coby White,5.5,26.5,,0.5s,0.5s,32.5,2.5,21.5,26.5,3.0,5.0,10.5,,0.5s
Nikola Vucevic,,,,0.5,1.5,32.5,1.5,18.5,29.5,1.5s,11.0,14.0,0.5s,0.5s
Kristaps Porzingis,,,,0.5s,2.5,28.5,1.5,19.5,,1.5s,7.0,9.0,,1.5
Jrue Holiday,5.0,17.5,,0.5s,1.5s,22.5,1.5,,16.5,1.5,4.5,10.0,,0.5s
Andre Drummond,,,,0.5s,1.5,19.5,,9.5,19.5,,9.5,10.5,0.5s,0.5
Al Horford,,,,0.5,1.5s,14.5,,,,1.5s,5.5,7.5,,0.5s
Ayo Dosunmu,,,,0.5s,1.5s,18.5,2.0,,,1.5s,2.5,,,0.5s
Sam Hauser,,,,0.5s,0.5s,,,,,1.5,,,,0.5s
Payton Pritchard,,,,0.5s,0.5s,,,,,1.5s,,,,
Nikola Jokic,9.0,36.5,0.5s,1.5s,2.0,49.5,3.0,27.5,40.5,0.5s,12.5,21.5,,0.5s
Jamal Murray,7.0,28.5,,0.5s,1.5,32.5,2.0,20.5,24.5,,4.0,11.0,,0.5s
Aaron Gordon,,,,0.5s,1.5s,24.5,1.5s,14.5,21.5,0.5,6.5,9.5,,0.5s
Michael Porter Jr.,,,,0.5,1.5s,24.5,,16.5,,2.5,6.5,,,0.5
Kyle Kuzma,3.5,22.5,,0.5s,1.5s,29.5,2.5,18.5,25.5,2.0,6.5,10.0,,0.5
Jordan Poole,3.5,,,0.5s,1.5s,19.5,1.5,,16.0,1.5,2.5,6.0,,0.5s
Tyus Jones,7.5,20.5,,1.5s,1.5s,23.5,1.5s,13.5,15.5,1.5,2.5,10.5,,0.5s
Deni Avdija,3.5,18.5,,0.5s,1.5s,26.5,2.5,15.5,22.5,1.5s,7.0,10.5,,0.5s
Kentavious Caldwell-Pope,,,,1.5s,1.5,15.5,,,,1.5,2.5,,,0.5s
Marvin Bagley III,,,,0.5s,1.5s,21.5,1.5s,13.0,,,7.0,8.5,,0.5
Corey Kispert,,,,0.5s,0.5,15.5,,,,1.5s,2.5,,,0.5s
Landry Shamet,,,,0.5s,0.5,,,,,1.5s,,,,0.5s
Peyton Watson,,,,0.5,1.5s,11.5,,,,0.5,3.5,,,0.5s
Christian Braun,,,,0.5,0.5s,10.5,,,,0.5s,3.5,,,0.5s
Reggie Jackson,,,,0.5,,14.5,,,,0.5s,,,,0.5s
Bilal Coulibaly,,,,0.5,1.5s,12.5,1.5,,,0.5s,4.0,5.5,,0.5
Lauri Markkanen,,,,0.5s,1.5s,33.5,1.5s,22.5,31.5,3.0,8.5,10.5,0.5s,0.5s
Miles Bridges,,27.5,,1.5s,1.5s,34.5,1.5s,22.5,29.5,2.5s,7.0,11.5,,0.5
John Collins,,,,0.5s,1.5,25.5,1.5s,14.5,23.5,0.5s,9.0,10.5,0.5s,0.5s
Jordan Clarkson,4.5,20.5,,0.5,0.5s,24.5,2.0,,,1.5s,3.0,7.5,,0.5s
Grant Williams,,,,0.5s,1.5s,18.5,1.5,,16.5,2.0,4.0,6.0,,0.5s
Collin Sexton,6.0,26.5,,0.5s,0.5s,29.5,1.5s,20.5,23.5,1.5s,,9.0,,0.5s
Walker Kessler,,,,0.5s,3.5,19.5,,9.5,17.5,,8.0,9.0,,
Seth Curry,,,,0.5,0.5s,10.5,0.5,,,1.5s,1.5,,,0.5s
Tre Mann,6.0,19.5,,0.5s,1.5s,23.5,1.5s,12.5,17.5,1.5s,4.0,10.5,,0.5s
Nick Richards,,,,0.5s,1.5,20.5,1.5s,11.5,,,8.5,9.5,0.5s,1.5s
Keyonte George,5.5,20.5,,0.5s,1.5s,23.5,1.5s,,,,3.0,8.5,,0.5s
Kris Dunn,3.5,,,1.5s,1.5s,12.5,,,,0.5s,3.0,6.5,,0.5s
Taylor Hendricks,,,,0.5,1.5s,,,,,0.5s,,,,0.5s
Talen Horton-Tucker,,,,0.5,0.5s,12.5,,,,0.5,2.0,,,0.5s
Cody Martin,4.0,,,0.5s,1.5,16.5,1.5,,,0.5s,4.0,8.5,,0.5s
Brandon Miller,,,,0.5s,1.5s,27.5,2.0,,,2.5s,,7.0,,0.5s
Vasilije Micic,,,,0.5s,0.5,12.5,1.5,,,0.5,1.5,6.0,,0.5s
De'Aaron Fox,7.5,36.5,,2.5s,2.5,41.5,3.5s,28.5,33.5,2.5,5.0,12.5,0.5s,0.5s
Victor Wembanyama,3.5,27.5,,1.5s,,38.5,,23.5,34.5,,10.5,14.0,0.5s,3.0
Devin Vassell,4.0,25.5,,0.5s,1.5s,29.5,1.5,,25.5,2.5,4.0,8.5,,0.5s
Keldon Johnson,,,,0.5,1.5s,18.5,1.5s,,17.5,1.5s,,6.5,,0.5s
Keegan Murray,,,,1.5s,2.0,24.5,,15.5,,2.0,6.5,,,0.5s
Jeremy Sochan,,,,0.5s,1.5s,20.5,1.5s,11.5,,0.5s,6.0,8.5,,0.5s
Harrison Barnes,,,,0.5s,1.5s,20.5,,,,1.5s,4.5,,,0.5s
Tre Jones,6.5,16.5,,1.5s,1.5s,19.5,1.5s,9.5,,0.5,,10.0,,0.5s
Malik Monk,6.0,25.5,,0.5s,1.5s,30.5,2.5,19.5,23.5,2.5s,,10.5,,0.5
Zach Collins,,,,0.5s,0.5s,14.5,1.5s,,,0.5s,4.5,7.0,,0.5s
Kevin Huerter,,,,0.5s,1.5,20.5,,,,2.5s,4.5,7.5,,0.5s
Julian Champagnie,,,,0.5,0.5s,,,,,0.5s,2.5,,,0.5s
Blake Wesley,3.5,,,,0.5s,11.5,1.5s,,,0.5s,,,,0.5s
Malaki Branham,,,,0.5s,0.5s,12.5,,,,0.5s,,,,0.5s
Stephen Curry,6.0,36.5,,0.5s,1.5s,41.5,3.0,30.5,34.5,5.5,4.5,10.5,0.5s,0.5s
Anthony Davis,,32.5,,1.5s,3.5,46.5,2.5s,,42.5,0.5,14.5,17.5,,2.0
Draymond Green,6.5,17.5,,0.5s,1.5s,25.5,2.5s,10.5,18.5,0.5s,7.5,14.5,0.5s,0.5s
Austin Reaves,6.5,24.5,,1.5s,1.5s,28.5,1.5s,17.5,21.5,2.0,4.0,10.5,,0.5s
Klay Thompson,,17.5,,0.5,1.5s,20.5,1.5s,,18.5,2.5s,3.0,,,0.5s
D'Angelo Russell,7.0,26.5,,0.5s,1.5,30.5,2.0,19.5,23.5,3.0,,11.0,,0.5s
Andrew Wiggins,,,,0.5s,1.5s,20.5,,,,1.5,5.0,,,0.5
Rui Hachimura,,17.5,,0.5,1.5s,22.5,,,21.5,1.5,5.0,6.5,,0.5s
Jonathan Kuminga,,21.5,,0.5,1.5s,27.5,1.5s,18.5,24.5,0.5,6.0,8.5,,0.5
Brandin Podziemski,5.0,17.5,,0.5s,1.5s,24.5,1.5,12.5,19.5,1.5,7.0,12.5,,0.5s
Taurean Prince,,,,0.5s,1.5,15.5,,,,1.5s,3.5,,,0.5s
Gary Payton II,,,,0.5,1.5s,,,,,0.5s,3.0,,,0.5s
